field7,Apr_1_Dead,Apr_26_Dead,Apr_26_Diff,Apr_Daily_Avg
California,89012,90136,1124,43
Texas,87426,88042,616,23
Georgia,37057,37659,602,23
Nevada,10091,10684,593,22
Florida,73282,73869,587,22
Arizona,29268,29852,584,22
Tennessee,25644,26151,507,19
Virginia,19714,20187,473,18
Kentucky,14965,15425,460,17
Oregon,7147,7486,339,13
Pennsylvania,44295,44616,321,12
Oklahoma,15520,15815,295,11
New York,67983,68264,281,10
Alabama,19294,19545,251,9
Michigan,35706,35935,229,8
Kansas,8395,8597,202,7
Illinois,35827,36017,190,7
New Mexico,7279,7456,177,6
New Jersey,33238,33407,169,6
Colorado,11977,12141,164,6
Washington,12510,12668,158,6
North Carolina,23215,23363,148,5
South Carolina,17591,17734,143,5
Arkansas,11237,11375,138,5
Massachusetts,20115,20238,123,4
Indiana,23431,23552,121,4
Minnesota,12640,12754,114,4
Louisiana,17138,17235,97,3
Wisconsin,14317,14411,94,3
Maryland,14347,14434,87,3
Maine,2202,2282,80,3
Montana,3249,3322,73,2
Iowa,9445,9510,65,2
Delaware,2846,2906,60,2
Connecticut,10779,10838,59,2
Idaho,4876,4922,46,1
Missouri,20166,20207,41,1
Mississippi,12399,12436,37,1
Nebraska,4162,4197,35,1
North Dakota,2232,2263,31,1
Hawaii,1379,1407,28,1
Utah,4714,4740,26,1
New Hampshire,2452,2477,25,0
Puerto Rico,4170,4192,22,0
Ohio,38339,38360,21,0
Wyoming,1791,1812,21,0
Alaska,1228,1248,20,0
American Samoa,4,23,19,0
South Dakota,2883,2901,18,0
Rhode Island,3522,3538,16,0
Vermont,617,629,12,0
West Virginia,6835,6845,10,0
Guam,349,354,5,0
District of Columbia,1333,1335,2,0
Northern Mariana Islands,33,34,1,0
Diamond Princess,0,0,0,0
Grand Princess,3,3,0,0
Province_State,4.0,4.0,0.0,0.0
Virgin Islands,111,111,0,0
