Date,Field,Running Total,Daily-Deaths
2/28/22,781,"951,337",
3/1/22,782,"953,102","1,765"
3/2/22,783,"955,178","2,076"
3/3/22,784,"956,865","1,687"
3/4/22,785,"958,594","1,729"
3/5/22,786,"958,870",276
3/6/22,787,"959,032",162
3/7/22,788,"960,700","1,668"
3/8/22,789,"962,039","1,339"
3/9/22,790,"964,015","1,976"
3/10/22,791,"965,660","1,645"
3/11/22,792,"967,124","1,464"
3/12/22,793,"967,550",426
3/13/22,794,"967,718",168
3/14/22,795,"965,103","-2,615"
3/15/22,796,"966,384","1,281"
3/16/22,797,"968,327","1,943"
3/17/22,798,"970,012","1,685"
3/18/22,799,"970,809",797
