field7,Apr_1_Dead,Apr_21_Dead,Apr_21_Diff,Apr_Daily_Avg
California,89012,89852,840,40
Georgia,37057,37659,602,28
Nevada,10091,10684,593,28
Arizona,29268,29852,584,27
Texas,87426,87959,533,25
Florida,73282,73789,507,24
Tennessee,25644,26115,471,22
Virginia,19714,20124,410,19
Kentucky,14965,15341,376,17
Oregon,7147,7478,331,15
Oklahoma,15520,15815,295,14
Pennsylvania,44295,44578,283,13
Alabama,19294,19529,235,11
Michigan,35706,35935,229,10
New York,67983,68208,225,10
Illinois,35827,35992,165,7
New Mexico,7279,7436,157,7
North Carolina,23215,23363,148,7
South Carolina,17591,17734,143,6
Washington,12510,12650,140,6
Arkansas,11237,11366,129,6
Kansas,8395,8524,129,6
New Jersey,33238,33363,125,5
Indiana,23431,23535,104,4
Massachusetts,20115,20219,104,4
Minnesota,12640,12742,102,4
Ohio,38260,38360,100,4
Wisconsin,14317,14402,85,4
Colorado,11977,12061,84,4
Louisiana,17138,17220,82,3
Maine,2202,2278,76,3
Maryland,14347,14418,71,3
Iowa,9445,9510,65,3
Delaware,2846,2896,50,2
Connecticut,10779,10826,47,2
Idaho,4876,4918,42,2
Missouri,20166,20201,35,1
Mississippi,12399,12432,33,1
Nebraska,4162,4195,33,1
Hawaii,1379,1407,28,1
Utah,4714,4740,26,1
North Dakota,2232,2257,25,1
Alaska,1228,1248,20,0
New Hampshire,2452,2472,20,0
Puerto Rico,4170,4190,20,0
South Dakota,2883,2901,18,0
American Samoa,4,21,17,0
Wyoming,1791,1807,16,0
Montana,3249,3262,13,0
Rhode Island,3522,3532,10,0
Vermont,617,626,9,0
Guam,349,354,5,0
Northern Mariana Islands,33,34,1,0
Diamond Princess,0,0,0,0
District of Columbia,1333,1333,0,0
Grand Princess,3,3,0,0
Province_State,4.0,4.0,0.0,0.0
Virgin Islands,111,111,0,0
West Virginia,6835,6822,-13,0
